full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,76129,76129,12258,5,5,1,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,53392,53392,8566,25,25,3,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9656,9656,14625,0,0,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1778,1778,2603,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53571,53571,4669,8,8,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65633,65633,6530,4,4,-1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30544,30544,3463,2,2,0,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37095,37095,3119,3,3,1,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,945,945,1218,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24835,24835,3548,1,1,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24881,24881,2878,3,3,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3295,3295,3810,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8801,8801,2129,1,1,1,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3526,0,0,0,https://github.com/ponponon/claude_code_src
liuup/claude-code-analysis,3892,3892,2056,0,0,-1,https://github.com/liuup/claude-code-analysis
Piebald-AI/claude-code-system-prompts,12585,12585,2043,1,1,0,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,10040,10040,811,0,0,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1562,1562,3009,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10016,10016,1230,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9622,9622,720,0,0,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2822,2822,2456,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,793,793,1758,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4202,4202,826,4,4,-1,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15758,15758,1372,4,4,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6059,6059,575,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5903,5903,772,0,0,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,627,627,1304,0,0,0,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3260,3260,621,1,1,0,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3893,3893,563,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6172,6172,677,0,0,0,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2591,2591,935,1,1,2,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4603,4603,462,1,1,0,https://github.com/zebbern/claude-code-guide
Windy3f3f3f3f/how-claude-code-works,3587,3587,704,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
1rgs/claude-code-proxy,3744,3744,489,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3910,3910,639,0,0,0,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8674,8674,458,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,189,189,282,0,0,0,https://github.com/zstmfhy/Claude-code
alejandrobalderas/claude-code-from-source,2787,2787,754,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
lorryjovens-hub/claude-code-rust,1660,1660,642,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
777genius/claude-code-source-code,930,930,1091,0,0,0,https://github.com/777genius/claude-code-source-code
fazxes/Claude-code,236,236,216,0,0,0,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,3351,3351,391,0,0,0,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2776,2776,419,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2784,2784,414,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
SeemSeam/claude_codex_bridge,3478,3478,341,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Yuyz0112/claude-code-reverse,2429,2429,413,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5222,5222,199,0,0,0,https://github.com/kodu-ai/claude-coder
Windy3f3f3f3f/claude-code-from-scratch,2639,2639,538,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
WorldFlowAI/everything-claude-code,2380,2380,364,56,56,3,https://github.com/WorldFlowAI/everything-claude-code
Cranot/claude-code-guide,2866,2866,317,0,0,0,https://github.com/Cranot/claude-code-guide
affaan-m/ECC,250012,250012,37624,203,203,19,https://github.com/affaan-m/ECC
luyao618/Claude-Code-Source-Study,1697,1697,573,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3091,3091,301,0,0,0,https://github.com/Chachamaru127/claude-code-harness
asgeirtj/system_prompts_leaks,64236,64236,10538,7,7,0,https://github.com/asgeirtj/system_prompts_leaks
https-deeplearning-ai/sc-claude-code-files,545,545,835,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,970,970,611,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1201,1201,395,0,0,0,https://github.com/repowise-dev/claude-code-prompts
krusemediallc/arcads-claude-code,1472,1472,359,1,1,0,https://github.com/krusemediallc/arcads-claude-code
jqueryscript/awesome-claude-code,508,508,556,0,0,1,https://github.com/jqueryscript/awesome-claude-code
AprilNEA/claude-code-source,392,392,606,0,0,0,https://github.com/AprilNEA/claude-code-source
huangjia2019/claude-code-engineering,1097,1097,385,0,0,0,https://github.com/huangjia2019/claude-code-engineering
multica-ai/andrej-karpathy-skills,210416,210416,21389,37,37,1,https://github.com/multica-ai/andrej-karpathy-skills
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,376,376,539,0,0,0,https://github.com/JrCx7scC/claude-code-source
disler/pi-vs-claude-code,1668,1668,385,0,0,0,https://github.com/disler/pi-vs-claude-code
edmund-io/edmunds-claude-code,1503,1503,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3856,3856,279,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
OrcaWhisper/Claude-Code,94,94,179,0,0,0,https://github.com/OrcaWhisper/Claude-Code
ccplugins/awesome-claude-code-plugins,932,932,454,1,1,1,https://github.com/ccplugins/awesome-claude-code-plugins
